"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-165,39,-239,-90,1,2660,2760
"lag_anthracnose",0.9,0.0734,0.757,1.05,1,3010,2830
"month2",0.244,0.118,0.0122,0.475,1,2670,2470
"month3",-1.12,0.116,-1.35,-0.894,1,2140,2630
"month4",0.435,0.134,0.175,0.703,1,1970,2560
"month5",0.0438,0.195,-0.333,0.427,1,1850,2310
"month6",1.24,0.219,0.828,1.68,1,1810,2210
"month7",-0.0684,0.216,-0.481,0.351,1,1810,2250
"month8",-0.184,0.223,-0.614,0.25,1,1780,2090
"month9",-0.63,0.197,-1.01,-0.251,1,1820,2190
"month10",-0.00727,0.16,-0.313,0.307,1,1990,2640
"month11",-0.127,0.114,-0.342,0.102,1,1960,2630
"month12",-0.626,0.0982,-0.817,-0.433,1,2640,2530
"year",0.0813,0.0193,0.0445,0.118,1,2660,2760
"pc1",0.301,0.0208,0.26,0.341,1,2020,2290
"pc2",0.0889,0.0198,0.051,0.128,1,2970,2840
"pc3",0.302,0.0277,0.247,0.358,1,2500,2440
"pc4",-0.154,0.0297,-0.211,-0.0936,1,2850,2780
"crown_rust1",1.25,0.0837,1.08,1.41,1,3130,2870
"brown_patch1",0.439,0.109,0.228,0.651,1,3070,2880
"crown_rust1:brown_patch1",-0.742,0.135,-1.01,-0.474,1,2880,2800
"pc1:crown_rust1",-0.122,0.0198,-0.162,-0.0828,1,3000,2820
"pc2:crown_rust1",-0.0145,0.0486,-0.11,0.0822,1,3550,2990
"pc3:crown_rust1",0.128,0.0546,0.0231,0.239,1,2910,3040
"pc4:crown_rust1",0.0869,0.0428,0.00111,0.17,1,2560,2560
"pc1:brown_patch1",-0.216,0.0252,-0.265,-0.167,1,3020,2910
"pc2:brown_patch1",-0.234,0.05,-0.33,-0.138,1,3110,2900
"pc3:brown_patch1",-0.218,0.0627,-0.34,-0.0942,1,2900,2830
"pc4:brown_patch1",0.159,0.0473,0.0679,0.252,1,2980,2610
