"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",482,38.7,407,557,1,2680,2710
"lag_crown_rust",1.83,0.0886,1.65,2,1,2850,2850
"month2",-0.47,0.987,-2.72,1.2,1,2900,2990
"month3",-2.02,1.29,-4.89,0.2,1,2790,2800
"month4",-1.41,0.942,-3.47,0.227,1,3030,3030
"month5",-1,0.96,-3.12,0.618,1,3090,2870
"month6",1.57,0.426,0.736,2.45,1,2520,2760
"month7",3.71,0.406,2.95,4.54,1,2450,2750
"month8",4.45,0.399,3.68,5.27,1,2430,2650
"month9",5.81,0.386,5.07,6.59,1,2380,2600
"month10",5.84,0.371,5.12,6.58,1,2360,2730
"month11",4.43,0.359,3.77,5.17,1,2340,2870
"month12",2.24,0.378,1.55,3.03,1,2470,2880
"year",-0.242,0.0191,-0.279,-0.205,1,2680,2710
"pc1",-0.089,0.0304,-0.149,-0.0301,1,2970,2460
"pc2",-0.00315,0.0473,-0.0953,0.0921,1,2820,2820
"pc3",-0.1,0.0635,-0.224,0.0239,1,2690,2910
"pc4",-0.423,0.0457,-0.513,-0.334,1,2930,2790
"anthracnose1",1.24,0.0871,1.07,1.42,1,2700,3120
"brown_patch1",0.318,0.168,-0.0117,0.644,1,2890,2980
"anthracnose1:brown_patch1",-0.741,0.137,-1.02,-0.472,1,2940,2900
"pc1:anthracnose1",-0.00656,0.0195,-0.0452,0.0308,0.999,2980,2910
"pc2:anthracnose1",-0.0464,0.0482,-0.143,0.0458,0.999,2720,2780
"pc3:anthracnose1",0.0906,0.0654,-0.035,0.218,1,2610,2520
"pc4:anthracnose1",0.173,0.0433,0.0909,0.259,1,2630,2950
"pc1:brown_patch1",0.146,0.0262,0.0957,0.198,1,2750,2950
"pc2:brown_patch1",-0.169,0.0558,-0.274,-0.055,1,2830,2670
"pc3:brown_patch1",0.0641,0.0682,-0.0698,0.2,1,3270,2930
"pc4:brown_patch1",0.173,0.0487,0.0743,0.267,1,3190,3030
