plot,tiller_a,tiller_b,tiller_c,tiller_d,tiller_e,tiller_f,tiller_g,tiller_h,tiller_i,tiller_j,epichloe_prevalence
plotID_1,1,1,1,1,1,1,1,1,1,1,100
plotID_2,1,1,1,1,1,1,1,1,1,1,100
plotID_3,0,1,1,0,1,1,1,1,1,1,80
plotID_4,1,1,0,0,1,1,1,1,1,1,80
plotID_5,1,1,1,1,1,1,1,1,1,1,100
plotID_6,1,1,1,1,1,1,1,1,1,1,100
plotID_7,1,1,1,1,1,1,1,1,1,1,100
plotID_8,1,1,1,1,1,1,1,1,1,1,100
plotID_9,1,1,1,1,1,1,1,1,1,1,100
plotID_10,1,1,0,1,1,1,1,1,1,1,90
plotID_11,1,1,1,1,1,1,1,1,1,1,100
plotID_12,1,1,1,1,1,1,1,1,1,1,100
plotID_13,1,1,1,1,1,1,1,1,1,1,100
plotID_14,1,1,1,1,1,1,1,1,1,1,100
plotID_15,1,1,1,1,1,1,1,1,1,1,100
plotID_16,1,1,1,1,1,1,1,1,1,1,100
plotID_17,1,1,0,1,1,1,1,1,1,1,90
plotID_18,1,1,1,1,1,1,0,1,1,1,90
plotID_19,1,1,1,1,1,1,1,0,0,1,80
plotID_20,1,1,1,1,1,1,1,1,1,1,100
plotID_21,1,1,1,1,1,1,1,1,1,1,100
plotID_22,1,1,1,0,1,1,1,1,0,1,80
plotID_23,NA,1,1,1,1,1,1,0,1,0,70
plotID_24,0,1,1,1,1,1,1,NA,1,1,88.88888889
plotID_25,1,1,0,1,1,1,NA,1,1,1,88.88888889
plotID_26,1,1,1,1,1,1,1,0,1,1,90
plotID_27,1,1,NA,1,1,1,1,1,0,1,88.88888889
plotID_28,1,1,1,1,1,0,1,1,1,1,90
plotID_29,1,1,1,1,NA,1,1,1,1,1,100
plotID_30,1,1,1,1,1,1,0,1,1,1,90
plotID_31,1,1,0,0,1,1,1,0,0,1,60
plotID_32,1,1,1,1,1,0,0,0,1,0,60
plotID_33,0,0,1,1,1,0,0,1,1,1,60
plotID_34,1,0,1,1,1,0,0,0,0,1,50
plotID_35,1,1,1,1,1,1,1,1,1,1,100
plotID_36,0,1,1,0,0,1,1,1,1,1,70
plotID_37,1,1,1,1,1,1,1,1,1,1,100
plotID_38,1,1,1,1,1,1,1,1,1,1,100
plotID_39,1,1,1,1,1,1,1,1,1,1,100
plotID_40,1,1,1,0,1,1,1,NA,0,0,60
plotID_41,0,1,1,0,0,0,0,1,0,0,30
plotID_42,1,1,1,NA,1,1,1,1,1,1,90
plotID_43,1,1,1,1,1,0,1,1,1,1,90
plotID_44,1,1,1,1,1,0,1,0,1,1,80
plotID_45,1,1,1,1,1,1,1,1,1,1,100
plotID_46,1,1,1,0,1,1,1,1,1,1,90
plotID_47,1,1,NA,1,1,0,1,1,1,1,88.88888889
plotID_48,1,1,1,1,1,0,1,0,1,1,80
plotID_49,NA,1,1,1,1,0,1,1,1,0,77.77777778
plotID_50,1,0,0,1,1,1,0,1,0,1,60
plotID_51,0,1,0,0,1,1,1,1,1,1,70
plotID_52,0,1,1,1,1,1,1,1,1,1,90
plotID_53,1,1,1,1,1,1,0,1,1,1,90
plotID_54,1,1,1,0,1,1,1,0,1,0,70
plotID_55,1,1,1,0,1,1,0,1,1,1,80
plotID_56,1,1,1,1,1,1,1,1,1,0,90
plotID_57,1,1,1,1,1,1,1,1,0,0,80
plotID_58,1,1,1,1,1,0,0,0,0,1,60
plotID_59,0,1,1,0,0,1,1,1,1,0,60
plotID_60,1,1,0,1,NA,1,1,1,1,NA,87.5
plotID_61,1,1,1,1,1,1,1,1,1,1,100
plotID_62,1,1,1,1,0,1,1,1,1,0,80
plotID_63,1,1,1,1,0,1,1,1,1,1,90
plotID_64,1,1,1,0,0,0,1,1,1,1,70
