outplant,tiller_number,plot,plotloc2017,survey_date,popgen,leaf,damage,anthracnose,crown_rust,brown_patch,mech,gls,rrust,unk1,chew,scrape
outplantID_1,tiller_1,plotID_1,loc_8,7/3/2017,Yes,1,ND,0,0,0,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/3/2017,Yes,2,ND,0,0,0,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/3/2017,Yes,3,ND,0,0,0,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/3/2017,Yes,4,ND,0,0,0,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/10/2017,Yes,2,ND,0,0,0,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/10/2017,Yes,3,ND,0,0,0,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/10/2017,Yes,4,ND,0,0,0,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/17/2017,Yes,4,ND,0,0,0,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/17/2017,Yes,2,D,0,0,1,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/17/2017,Yes,3,D,0,0,0,0,1,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/24/2017,Yes,2,D,1,0,0,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/24/2017,Yes,3,D,1,0,0,0,0,0,0,0,0
outplantID_1,tiller_1,plotID_1,loc_8,7/24/2017,Yes,4,D,1,0,0,0,0,0,0,0,0
outplantID_1,tiller_2,plotID_1,loc_8,8/7/2017,Yes,2,ND,0,0,0,0,0,0,0,0,0
outplantID_1,tiller_2,plotID_1,loc_8,8/7/2017,Yes,3,ND,0,0,0,0,0,0,0,0,0
outplantID_1,tiller_2,plotID_1,loc_8,8/7/2017,Yes,1,D,0,0,1,0,0,0,0,0,0
outplantID_1,tiller_3,plotID_1,loc_8,9/27/2017,Yes,1,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/3/2017,No,1,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/3/2017,No,2,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/3/2017,No,3,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/10/2017,No,1,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/10/2017,No,2,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/10/2017,No,3,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/10/2017,No,4,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/17/2017,No,1,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/17/2017,No,2,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/17/2017,No,3,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/17/2017,No,4,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/24/2017,No,2,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/24/2017,No,4,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/24/2017,No,3,D,0,0,0,1,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/31/2017,No,2,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/31/2017,No,3,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,7/31/2017,No,4,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/7/2017,No,4,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/7/2017,No,5,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/7/2017,No,2,D,0,0,0,0,0,0,0,1,0
outplantID_10,tiller_1,plotID_2,loc_15,8/7/2017,No,3,D,1,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/14/2017,No,4,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/14/2017,No,5,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/14/2017,No,2,D,0,0,1,0,0,0,0,1,0
outplantID_10,tiller_1,plotID_2,loc_15,8/14/2017,No,3,D,1,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/22/2017,No,6,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/22/2017,No,4,D,1,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/22/2017,No,5,D,0,0,0,0,0,0,0,0,1
outplantID_10,tiller_1,plotID_2,loc_15,8/28/2017,No,6,D,1,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/28/2017,No,4,D,1,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,8/28/2017,No,5,D,0,0,0,0,0,0,0,0,1
outplantID_10,tiller_1,plotID_2,loc_15,9/5/2017,No,7,ND,0,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,9/5/2017,No,6,D,1,0,0,0,0,0,0,0,0
outplantID_10,tiller_1,plotID_2,loc_15,9/5/2017,No,4,D,1,1,0,0,0,0,0,1,0
outplantID_10,tiller_1,plotID_2,loc_15,9/5/2017,No,5,D,1,1,0,0,0,0,0,1,1
