month,year,plot,survey_date,fungicide,plant,leaf,damage,anthracnose,crown_rust,brown_patch,smut,gls,rrust,sclerotinia,tml,mining,mech,chlo,scrape
May,2017,plotID_1,5/24/2017,Never,1,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,1,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,1,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,2,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,2,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,2,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,3,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,3,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,4,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,4,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,5,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,5,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,6,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,6,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,7,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,7,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,8,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,8,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,9,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,9,2,D,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,10,1,D,1,0,1,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,10,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,11,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,11,2,D,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,12,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,12,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,13,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,13,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,14,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_1,5/24/2017,Never,14,2,D,1,0,0,0,0,0,0,0,0,0,0,0
