plot,year,Acalypha.sp.,Allium.vineale,Andropogon.virginicus,Anthoxanthum.odoratum,Apocynum.cannabinum,Celtis.laevigata,Conyza.canadensis,Cynodon.dactylon,Daucus.carota,Desmodium.sp.,Digitaria.sanguinalis,Eragrostis.capillaris,Fraxinus.sp.,Holcus.lanatus,Houstonia.sp.,Ipomea.sp.,Juncus.sp.,Juniperus.virginiana,Lespedeza.cuneata,Litter,Festuca.arundinacea,Lonicera.japonica,Oxalis.dillenii,Parthenocissus.quinquefolia,Paspalum.dilatatum,Paspalum.notatum,Pinus.taeda,Plantago.aristata,Plantago.lanceolata,Poa.pratensis,Ranunculus.sp.,Rosa.multiflora,Rubus.argutus,Setaria.parviflora,Solanum.carolinense,Sorghum.halepense,Steinchisma.hians,Toxicodendron.radicans,Tridens.flavus,Tripsacum.dactyloides,Unknown Asteraceae 1,Unknown Fabaceae 1,Verbesina.occidentalis,Vitis.sp.
plotID_1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
plotID_2,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
plotID_3,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0.5,0
plotID_4,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,4,0
plotID_5,2017,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
plotID_6,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
plotID_7,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
plotID_8,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100,0,0,0,7,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
plotID_9,2017,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,40,0,0,0,0
plotID_10,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
plotID_11,2017,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0
plotID_12,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,100,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0
plotID_13,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,90,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,1,2,0
plotID_14,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0.5,1,0
plotID_15,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,4,0,0,0.1,1,0
plotID_16,2017,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,3,95,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,2,0,0,0,0,0
plotID_17,2017,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
plotID_18,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0.5,0,0
plotID_19,2017,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,95,0,0,0,0,0,0,0,0,9,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0
