plot,year,total_biomass
plotID_1,2017,968.53
plotID_2,2017,1032.89
plotID_3,2017,1173.33
plotID_4,2017,630.04
plotID_5,2017,815.29
plotID_6,2017,722.84
plotID_7,2017,667.02
plotID_8,2017,716.80
plotID_9,2017,924.44
plotID_10,2017,915.20
plotID_11,2017,667.02
plotID_12,2017,752.36
plotID_13,2017,708.27
plotID_14,2017,696.89
plotID_15,2017,667.38
plotID_16,2017,680.18
plotID_17,2017,546.84
plotID_18,2017,619.02
plotID_19,2017,876.09
plotID_20,2017,814.93
plotID_21,2017,817.78
plotID_22,2017,904.18
plotID_23,2017,962.84
plotID_24,2017,872.18
plotID_25,2017,841.60
plotID_26,2017,701.51
plotID_27,2017,694.76
plotID_28,2017,698.31
plotID_29,2017,695.47
plotID_30,2017,815.64
plotID_31,2017,860.09
plotID_32,2017,845.51
plotID_33,2017,941.51
plotID_34,2017,845.16
plotID_35,2017,714.31
plotID_36,2017,794.67
plotID_37,2017,813.16
plotID_38,2017,505.96
plotID_39,2017,713.24
plotID_40,2017,746.67
plotID_41,2017,679.82
plotID_42,2017,659.20
plotID_43,2017,924.80
plotID_44,2017,666.67
plotID_45,2017,782.58
plotID_46,2017,710.76
plotID_47,2017,818.49
plotID_48,2017,743.11
plotID_49,2017,824.18
plotID_50,2017,1014.40
plotID_51,2017,1109.33
plotID_52,2017,921.96
plotID_53,2017,666.31
plotID_54,2017,750.22
plotID_55,2017,826.67
plotID_56,2017,851.56
plotID_57,2017,1258.84
plotID_58,2017,932.98
plotID_59,2017,720.00
plotID_60,2017,790.04
plotID_61,2017,831.64
plotID_62,2017,672.71
plotID_63,2017,860.80
plotID_64,2017,870.40
plotID_1,2018,614.87
plotID_2,2018,757.39
plotID_3,2018,950.84
plotID_4,2018,1240.23
plotID_5,2018,1345.55
plotID_6,2018,798.23
plotID_7,2018,701.92
plotID_8,2018,897.05
plotID_9,2018,1352.70
plotID_10,2018,791.02
plotID_11,2018,1202.39
plotID_12,2018,809.52
plotID_13,2018,788.77
plotID_14,2018,929.05
plotID_15,2018,696.67
plotID_16,2018,721.54
plotID_17,2018,603.22
plotID_18,2018,773.82
plotID_19,2018,814.90
plotID_20,2018,544.73
plotID_21,2018,1183.80
plotID_22,2018,958.15
plotID_23,2018,554.95
plotID_24,2018,877.51
plotID_25,2018,706.69
plotID_26,2018,453.30
plotID_27,2018,848.69
plotID_28,2018,849.98
plotID_29,2018,533.36
plotID_30,2018,302.67
plotID_31,2018,718.54
plotID_32,2018,475.64
plotID_33,2018,968.29
plotID_34,2018,947.60
plotID_35,2018,785.14
plotID_36,2018,882.74
plotID_37,2018,1185.45
plotID_38,2018,700.25
plotID_39,2018,893.34
plotID_40,2018,1179.13
plotID_41,2018,820.94
plotID_42,2018,1448.76
plotID_43,2018,1243.17
plotID_44,2018,750.36
plotID_45,2018,1015.30
plotID_46,2018,742.96
plotID_47,2018,711.77
plotID_48,2018,1134.80
plotID_49,2018,976.93
plotID_50,2018,1101.62
plotID_51,2018,790.20
plotID_52,2018,923.79
plotID_53,2018,883.19
plotID_54,2018,625.68
plotID_55,2018,671.43
plotID_56,2018,846.83
plotID_57,2018,1305.21
plotID_58,2018,1046.48
plotID_59,2018,1157.17
plotID_60,2018,1192.90
plotID_61,2018,1120.79
plotID_62,2018,739.87
plotID_63,2018,877.09
plotID_64,2018,780.35
plotID_1,2019,604.00
plotID_2,2019,1182.00
plotID_3,2019,2319.00
plotID_4,2019,1448.00
plotID_5,2019,2179.00
plotID_6,2019,1223.00
plotID_7,2019,1078.00
plotID_8,2019,1531.00
plotID_9,2019,1628.00
plotID_10,2019,1507.00
plotID_11,2019,1978.00
plotID_12,2019,1060.00
plotID_13,2019,1564.00
plotID_14,2019,952.00
plotID_15,2019,1073.00
plotID_16,2019,1289.00
plotID_17,2019,1352.00
plotID_18,2019,1239.00
plotID_19,2019,1422.00
plotID_20,2019,782.00
plotID_21,2019,1403.00
plotID_22,2019,1372.00
plotID_23,2019,931.00
plotID_24,2019,1330.00
plotID_25,2019,1352.00
plotID_26,2019,1624.00
plotID_27,2019,1409.00
plotID_28,2019,963.00
plotID_29,2019,1553.00
plotID_30,2019,843.00
plotID_31,2019,1320.00
plotID_32,2019,1471.00
plotID_33,2019,1276.00
plotID_34,2019,922.00
plotID_35,2019,1219.00
plotID_36,2019,1367.00
plotID_37,2019,1493.00
plotID_38,2019,537.00
plotID_39,2019,1272.00
plotID_40,2019,1190.00
plotID_41,2019,1007.00
plotID_42,2019,1484.00
plotID_43,2019,1550.00
plotID_44,2019,1810.00
plotID_45,2019,1623.00
plotID_46,2019,1229.00
plotID_47,2019,810.00
plotID_48,2019,1064.00
plotID_49,2019,1628.00
plotID_50,2019,1421.00
plotID_51,2019,838.00
plotID_52,2019,1309.00
plotID_53,2019,1317.00
plotID_54,2019,1379.00
plotID_55,2019,753.00
plotID_56,2019,1358.00
plotID_57,2019,1279.00
plotID_58,2019,1005.00
plotID_59,2019,1472.00
plotID_60,2019,935.00
plotID_61,2019,1380.00
plotID_62,2019,579.00
plotID_63,2019,533.00
plotID_64,2019,991.00
