plot,year,dead,fescue,monocots,dicots,woody
plotID_1,2018,200.80,326.40,81.67,5.99,0.00
plotID_10,2018,214.30,524.70,30.55,21.47,0.00
plotID_11,2018,381.95,742.15,78.15,0.14,0.00
plotID_12,2018,307.30,408.90,89.45,3.52,0.36
plotID_13,2018,370.10,201.00,145.07,0.49,72.11
plotID_14,2018,279.65,406.45,240.15,2.80,0.00
plotID_15,2018,157.30,392.15,145.15,2.07,0.00
plotID_16,2018,191.25,494.60,24.39,11.29,0.00
plotID_17,2018,197.65,306.00,43.65,55.92,0.00
plotID_18,2018,264.55,456.55,51.30,1.42,0.00
plotID_19,2018,73.29,612.50,129.10,0.01,0.00
plotID_2,2018,280.45,430.70,45.75,0.49,0.00
plotID_20,2018,98.45,432.95,12.35,0.99,0.00
plotID_21,2018,396.75,756.70,30.30,0.05,0.00
plotID_22,2018,404.65,524.55,28.60,0.07,0.28
plotID_23,2018,200.35,272.90,81.37,0.33,0.00
plotID_24,2018,216.95,358.95,25.80,200.66,75.15
plotID_25,2018,298.25,387.20,12.08,1.44,7.73
plotID_26,2018,212.90,216.80,23.52,0.09,0.00
plotID_27,2018,70.64,686.80,11.64,0.41,79.20
plotID_28,2018,120.80,633.50,13.83,81.85,0.00
plotID_29,2018,259.05,98.95,121.66,39.95,13.75
plotID_3,2018,337.90,564.30,48.62,0.02,0.00
plotID_30,2018,125.80,166.25,10.20,0.42,0.00
plotID_31,2018,274.75,439.10,4.60,0.08,0.00
plotID_32,2018,144.60,317.35,9.11,4.58,0.00
plotID_33,2018,157.55,488.25,322.49,0.00,0.00
plotID_34,2018,514.65,404.65,23.33,4.97,0.00
plotID_35,2018,389.60,387.45,7.79,0.30,0.00
plotID_36,2018,338.05,525.70,18.90,0.09,0.00
plotID_37,2018,636.75,529.75,11.06,7.89,0.00
plotID_38,2018,225.30,388.50,2.78,83.67,0.00
plotID_39,2018,238.55,531.25,50.75,72.59,0.20
plotID_4,2018,376.05,803.00,49.42,11.77,0.00
plotID_40,2018,326.90,843.80,8.42,0.02,0.00
plotID_41,2018,304.00,488.55,28.27,0.12,0.00
plotID_42,2018,578.60,869.60,0.00,0.00,0.56
plotID_43,2018,333.35,875.95,33.44,0.43,0.00
plotID_44,2018,295.45,411.00,41.80,2.12,0.00
plotID_45,2018,57.23,935.80,21.92,0.00,0.36
plotID_46,2018,247.10,424.80,53.11,17.96,0.00
plotID_47,2018,468.70,218.80,24.27,0.00,0.00
plotID_48,2018,598.45,506.95,28.26,1.14,0.00
plotID_49,2018,100.30,815.30,60.87,0.46,0.00
plotID_5,2018,247.05,251.36,846.60,0.55,0.00
plotID_50,2018,85.75,990.70,17.44,0.00,7.74
plotID_51,2018,183.95,584.95,13.62,7.27,0.41
plotID_52,2018,199.65,639.05,85.08,0.02,0.00
plotID_53,2018,331.65,486.05,29.28,36.22,0.00
plotID_54,2018,205.65,385.25,34.74,0.05,0.00
plotID_55,2018,152.35,507.60,10.27,1.21,0.00
plotID_56,2018,277.55,483.00,85.90,0.37,0.00
plotID_57,2018,544.95,751.70,8.43,0.12,0.00
plotID_58,2018,135.15,658.45,14.21,167.24,71.43
plotID_59,2018,192.55,962.65,1.00,0.69,0.28
plotID_6,2018,291.40,415.15,85.95,5.73,0.00
plotID_60,2018,249.05,667.90,16.43,253.16,6.35
plotID_61,2018,397.90,556.05,47.56,118.40,0.88
plotID_62,2018,236.45,435.45,34.56,33.41,0.00
plotID_63,2018,281.45,565.45,28.19,2.01,0.00
plotID_64,2018,197.90,425.55,0.00,0.00,156.90
plotID_7,2018,269.05,334.60,78.28,19.99,0.00
plotID_8,2018,286.90,467.75,112.55,29.85,0.00
plotID_9,2018,405.10,190.57,756.85,0.17,0.00
