plot,row,column,fungicide
plotID_1,1,1,Never
plotID_2,1,2,7-months
plotID_3,1,3,9-months
plotID_4,1,4,Year-round
plotID_5,2,1,9-months
plotID_6,2,2,7-months
plotID_7,2,3,Never
plotID_8,2,4,9-months
plotID_9,3,1,9-months
plotID_10,3,2,Year-round
plotID_11,3,3,Year-round
plotID_12,3,4,Never
plotID_13,4,1,Never
plotID_14,4,2,7-months
plotID_15,4,3,7-months
plotID_16,4,4,Never
plotID_17,5,1,7-months
plotID_18,5,2,7-months
plotID_19,5,3,Year-round
plotID_20,5,4,Never
plotID_21,6,1,Year-round
plotID_22,6,2,Year-round
plotID_23,6,3,Never
plotID_24,6,4,9-months
plotID_25,7,1,7-months
plotID_26,7,2,7-months
plotID_27,7,3,9-months
plotID_28,7,4,7-months
plotID_29,8,1,Never
plotID_30,8,2,Never
plotID_31,8,3,Year-round
plotID_32,8,4,9-months
plotID_33,9,1,9-months
plotID_34,9,2,7-months
plotID_35,9,3,7-months
plotID_36,9,4,Year-round
plotID_37,10,1,7-months
plotID_38,10,2,Never
plotID_39,10,3,7-months
plotID_40,10,4,Year-round
plotID_41,11,1,9-months
plotID_42,11,2,9-months
plotID_43,11,3,Year-round
plotID_44,11,4,Never
plotID_45,12,1,9-months
plotID_46,12,2,Never
plotID_47,12,3,7-months
plotID_48,12,4,9-months
plotID_49,13,1,9-months
plotID_50,13,2,Year-round
plotID_51,13,3,7-months
plotID_52,13,4,Year-round
plotID_53,14,1,Year-round
plotID_54,14,2,Never
plotID_55,14,3,Never
plotID_56,14,4,Year-round
plotID_57,15,1,Year-round
plotID_58,15,2,9-months
plotID_59,15,3,Year-round
plotID_60,15,4,9-months
plotID_61,16,1,7-months
plotID_62,16,2,Never
plotID_63,16,3,Never
plotID_64,16,4,9-months
